college code,Manditory Branch name,Manditory Sem,Total eligible students,Pending allocations for eligible students
1111,B.E Mechanical Engineering,7,25,14
1111,B.Tech Food Technology,5,3,0
1111,B.E Biomedical Engineering,5,0,0
1111,B.Tech Artificial Intelligence and Data Science,7,0,0
1111,B.E Medical Electronics Engineering,7,0,0
1111,B.E Medical Electronics Engineering,5,0,0
1111,B.E Biomedical Engineering,7,0,0
1111,B.E Electronics and Communication Engineering,5,15,15
1120,B.E Mechanical Engineering,7,21,18
1120,B.E Mechanical Engineering,5,37,32
1120,B.E Biomedical Engineering,5,30,27
1120,B.E Computer Science and Engineering,5,20,18
1120,B.E Biomedical Engineering,5,30,27
1120,B.E Computer Science and Engineering,5,20,15
1120,B.E Biomedical Engineering,5,30,22
1120,B.E Mechanical Engineering,5,37,27
1120,B.E Mechanical Engineering,7,21,18
1120,B.E Mechanical Engineering,5,37,31
1120,B.E Mechanical Engineering,7,21,18
1120,B.E Computer Science and Engineering,5,20,15
1120,B.E Biomedical Engineering,5,30,22
1120,B.E Computer Science and Engineering,5,20,15
1120,B.E Biomedical Engineering,5,30,22
1120,B.E Computer Science and Engineering,5,20,17
1120,B.E Mechanical Engineering,5,37,21
1120,B.E Mechanical Engineering,7,21,9
1120,B.E Biomedical Engineering,5,30,30
1120,B.Tech Artificial Intelligence and Data Science,7,0,0
1120,B.E Medical Electronics Engineering,7,0,0
1120,B.E Medical Electronics Engineering,5,0,0
1120,B.E Biomedical Engineering,7,0,0
1120,B.E Electronics and Communication Engineering,5,0,0
1123,B.E Electrical and Electronics Engineering,7,10,7
1123,B.E Mechanical Engineering,7,18,15
1123,B.E Electrical and Electronics Engineering,5,32,29
1123,B.E Electronics and Communication Engineering,5,21,19
1123,B.E Mechanical Engineering,5,66,58
1123,B.E Computer Science and Engineering,5,15,14
1123,B.E Electrical and Electronics Engineering,5,32,29
1123,B.E Electronics and Communication Engineering,5,21,18
1123,B.E Computer Science and Engineering,5,15,11
1123,B.E Electronics and Communication Engineering,5,21,16
1123,B.E Mechanical Engineering,5,66,49
1123,B.E Mechanical Engineering,7,18,14
1123,B.E Electrical and Electronics Engineering,5,32,23
1123,B.E Electrical and Electronics Engineering,7,10,7
1123,B.E Electrical and Electronics Engineering,5,32,25
1123,B.E Electrical and Electronics Engineering,7,10,7
1123,B.E Mechanical Engineering,5,66,56
1123,B.E Mechanical Engineering,7,18,15
1123,B.E Civil Engineering,5,27,13
1123,B.E Civil Engineering,5,27,14
1123,B.E Civil Engineering,7,3,1
1123,B.E Civil Engineering,7,3,2
1123,B.E Computer Science and Engineering,5,15,11
1123,B.E Electronics and Communication Engineering,5,21,16
1123,B.E Computer Science and Engineering,5,15,12
1123,B.E Electronics and Communication Engineering,5,21,15
1123,B.E Computer Science and Engineering,5,15,12
1123,B.E Electrical and Electronics Engineering,5,32,22
1123,B.E Electrical and Electronics Engineering,7,10,9
1123,B.E Mechanical Engineering,5,66,35
1123,B.E Mechanical Engineering,7,18,10
1123,B.E Biomedical Engineering,5,0,0
1123,B.Tech Artificial Intelligence and Data Science,7,0,0
1123,B.E Medical Electronics Engineering,7,0,0
1123,B.E Medical Electronics Engineering,5,0,0
1123,B.E Biomedical Engineering,7,0,0
1123,B.E Electronics and Communication Engineering,5,21,21
1124,B.E Electrical and Electronics Engineering,7,21,16
1124,B.E Mechanical Engineering,7,51,41
1124,B.E Electrical and Electronics Engineering,5,66,60
1124,B.E Electronics and Communication Engineering,5,91,82
1124,B.E Mechanical Engineering,5,131,115
1124,B.E Computer Science and Engineering,5,65,60
1124,B.E Electrical and Electronics Engineering,5,66,60
1124,B.E Electronics and Communication Engineering,5,91,82
1124,B.E Computer Science and Engineering,5,65,49
1124,B.E Electronics and Communication Engineering,5,91,68
1124,B.E Mechanical Engineering,5,131,98
1124,B.E Mechanical Engineering,7,51,41
1124,B.E Electrical and Electronics Engineering,5,66,47
1124,B.E Electrical and Electronics Engineering,7,21,16
1124,B.E Electrical and Electronics Engineering,5,66,53
1124,B.E Electrical and Electronics Engineering,7,21,16
1124,B.E Mechanical Engineering,5,131,111
1124,B.E Mechanical Engineering,7,51,43
1124,B.E Civil Engineering,5,32,16
1124,B.E Civil Engineering,5,32,16
1124,B.E Civil Engineering,7,12,6
1124,B.E Civil Engineering,7,12,6
1124,B.E Computer Science and Engineering,5,65,49
1124,B.E Electronics and Communication Engineering,5,91,68
1124,B.E Computer Science and Engineering,5,65,47
1124,B.E Electronics and Communication Engineering,5,91,64
1124,B.E Computer Science and Engineering,5,65,55
1124,B.E Electrical and Electronics Engineering,5,66,44
1124,B.E Electrical and Electronics Engineering,7,21,15
1124,B.E Mechanical Engineering,5,131,69
1124,B.E Mechanical Engineering,7,51,28
1124,B.E Biomedical Engineering,5,0,0
1124,B.Tech Artificial Intelligence and Data Science,7,0,0
1124,B.E Medical Electronics Engineering,7,0,0
1124,B.E Medical Electronics Engineering,5,0,0
1124,B.E Biomedical Engineering,7,0,0
1124,B.E Electronics and Communication Engineering,5,91,91
1125,B.E Electrical and Electronics Engineering,7,12,9
1125,B.E Mechanical Engineering,7,36,29
1125,B.E Electrical and Electronics Engineering,5,37,33
1125,B.E Electronics and Communication Engineering,5,10,9
1125,B.E Mechanical Engineering,5,53,47
1125,B.E Computer Science and Engineering,5,17,16
1125,B.E Electrical and Electronics Engineering,5,37,33
1125,B.E Electronics and Communication Engineering,5,10,9
1125,B.E Computer Science and Engineering,5,17,13
1125,B.E Electronics and Communication Engineering,5,10,7
1125,B.E Mechanical Engineering,5,53,40
1125,B.E Mechanical Engineering,7,36,29
1125,B.E Electrical and Electronics Engineering,5,37,27
1125,B.E Electrical and Electronics Engineering,7,12,8
1125,B.E Electrical and Electronics Engineering,5,37,30
1125,B.E Electrical and Electronics Engineering,7,12,8
1125,B.E Mechanical Engineering,5,53,45
1125,B.E Mechanical Engineering,7,36,31
1125,B.E Civil Engineering,5,14,7
1125,B.E Civil Engineering,5,14,7
1125,B.E Civil Engineering,7,4,2
1125,B.E Civil Engineering,7,4,2
1125,B.E Computer Science and Engineering,5,17,13
1125,B.E Electronics and Communication Engineering,5,10,7
1125,B.E Computer Science and Engineering,5,17,12
1125,B.E Electronics and Communication Engineering,5,10,8
1125,B.E Computer Science and Engineering,5,17,14
1125,B.E Electrical and Electronics Engineering,5,37,25
1125,B.E Electrical and Electronics Engineering,7,12,11
1125,B.E Mechanical Engineering,5,53,27
1125,B.E Mechanical Engineering,7,36,19
1125,B.E Biomedical Engineering,5,0,0
1125,B.Tech Artificial Intelligence and Data Science,7,0,0
1125,B.E Medical Electronics Engineering,7,0,0
1125,B.E Medical Electronics Engineering,5,0,0
1125,B.E Biomedical Engineering,7,0,0
1125,B.E Electronics and Communication Engineering,5,10,10
1126,B.E Electrical and Electronics Engineering,7,9,7
1126,B.E Mechanical Engineering,7,10,9
1126,B.E Electronics and Communication Engineering,5,7,6
1126,B.E Mechanical Engineering,5,22,19
1126,B.E Computer Science and Engineering,5,16,15
1126,B.E Electronics and Communication Engineering,5,7,6
1126,B.E Computer Science and Engineering,5,16,12
1126,B.E Electronics and Communication Engineering,5,7,6
1126,B.Tech Artificial Intelligence and Data Science,5,5,4
1126,B.E Mechanical Engineering,5,22,16
1126,B.E Mechanical Engineering,7,10,8
1126,B.E Electrical and Electronics Engineering,5,3,2
1126,B.E Electrical and Electronics Engineering,7,9,7
1126,B.E Electrical and Electronics Engineering,5,3,2
1126,B.E Electrical and Electronics Engineering,7,9,7
1126,B.E Mechanical Engineering,5,22,19
1126,B.E Mechanical Engineering,7,10,8
1126,B.E Computer Science and Engineering,5,16,12
1126,B.Tech Artificial Intelligence and Data Science,5,5,4
1126,B.E Electronics and Communication Engineering,5,7,5
1126,B.E Computer Science and Engineering,5,16,12
1126,B.E Electronics and Communication Engineering,5,7,5
1126,B.Tech Artificial Intelligence and Data Science,5,5,4
1126,B.E Computer Science and Engineering,5,16,13
1126,B.Tech Artificial Intelligence and Data Science,5,5,3
1126,B.E Electrical and Electronics Engineering,5,3,2
1126,B.E Electrical and Electronics Engineering,7,9,6
1126,B.E Mechanical Engineering,5,22,12
1126,B.E Mechanical Engineering,7,10,5
1126,B.Tech Chemical Engineering,7,5,0
1126,B.E Biomedical Engineering,5,0,0
1126,B.Tech Artificial Intelligence and Data Science,7,0,0
1126,B.E Medical Electronics Engineering,7,0,0
1126,B.E Medical Electronics Engineering,5,0,0
1126,B.E Biomedical Engineering,7,0,0
1126,B.E Electronics and Communication Engineering,5,7,7
1127,B.E Aeronautical Engineering,7,17,14
1127,B.E Electrical and Electronics Engineering,7,7,5
1127,B.E Mechanical Engineering,7,22,18
1127,B.E Aeronautical Engineering,5,5,4
1127,B.E Electrical and Electronics Engineering,5,11,10
1127,B.E Electronics and Communication Engineering,5,10,9
1127,B.E Mechanical Engineering,5,17,15
1127,B.E Computer Science and Engineering,5,36,33
1127,B.E Electrical and Electronics Engineering,5,11,10
1127,B.E Electronics and Communication Engineering,5,10,9
1127,B.Tech Information Technology,5,14,13
1127,B.E Computer Science and Engineering,5,36,27
1127,B.E Electronics and Communication Engineering,5,10,8
1127,B.Tech Information Technology,5,14,10
1127,B.E Aeronautical Engineering,5,5,4
1127,B.E Aeronautical Engineering,7,17,14
1127,B.E Mechanical Engineering,5,17,13
1127,B.E Mechanical Engineering,7,22,18
1127,B.E Electrical and Electronics Engineering,5,11,8
1127,B.E Electrical and Electronics Engineering,7,7,5
1127,B.E Electrical and Electronics Engineering,5,11,9
1127,B.E Electrical and Electronics Engineering,7,7,5
