college_code,college_name,branch_id,branch_name,students_count,verified_students_count,logged_in_students_count
2114,PANIMALAR ENGINEERING COLLEGE,61,B.E. Computer Science and Engineering,993,993,0
2114,PANIMALAR ENGINEERING COLLEGE,65,B.E. Electrical and Electronics Engineering,524,524,0
2114,PANIMALAR ENGINEERING COLLEGE,37,B.Tech. Information Technology,595,595,0
2114,PANIMALAR ENGINEERING COLLEGE,7006,B.Tech. Computer Science and Business Systems,190,190,0
2114,PANIMALAR ENGINEERING COLLEGE,81,B.E Electronics and Communication Engineering,980,980,0
2114,PANIMALAR ENGINEERING COLLEGE,83,B.E Mechanical Engineering,834,834,0
2114,PANIMALAR ENGINEERING COLLEGE,84,B.E Civil Engineering,182,182,0
2114,PANIMALAR ENGINEERING COLLEGE,86,B.Tech. Artificial Intelligence and Data Science,263,263,0
2114,PANIMALAR ENGINEERING COLLEGE,91,B.E Electronics and Instrumenataion Engineering,101,101,0
2114,PANIMALAR ENGINEERING COLLEGE,123,B.E Computer and Communication Engineering,122,122,0
3114,MEENAKSHI COLLEGE OF ENGINEERING,61,B.E. Computer Science and Engineering,290,290,0
3114,MEENAKSHI COLLEGE OF ENGINEERING,65,B.E. Electrical and Electronics Engineering,46,46,0
3114,MEENAKSHI COLLEGE OF ENGINEERING,37,B.Tech. Information Technology,195,195,0
3114,MEENAKSHI COLLEGE OF ENGINEERING,75,B.Arch Architecture,103,103,0
3114,MEENAKSHI COLLEGE OF ENGINEERING,81,B.E Electronics and Communication Engineering,126,126,0
3114,MEENAKSHI COLLEGE OF ENGINEERING,83,B.E Mechanical Engineering,47,47,0
3114,MEENAKSHI COLLEGE OF ENGINEERING,84,B.E Civil Engineering,33,33,0
3114,MEENAKSHI COLLEGE OF ENGINEERING,91,B.E Electronics and Instrumenataion Engineering,17,17,0
9506,EINSTEIN COLLEGE OF ENGINEERING,61,B.E. Computer Science and Engineering,276,276,4
9506,EINSTEIN COLLEGE OF ENGINEERING,65,B.E. Electrical and Electronics Engineering,47,47,0
9506,EINSTEIN COLLEGE OF ENGINEERING,81,B.E Electronics and Communication Engineering,117,117,0
9506,EINSTEIN COLLEGE OF ENGINEERING,83,B.E Mechanical Engineering,102,102,5
9506,EINSTEIN COLLEGE OF ENGINEERING,84,B.E Civil Engineering,29,29,0
8100,"University College of Engineering, BIT Campus, Trichy",61,B.E. Computer Science and Engineering,314,314,0
8100,"University College of Engineering, BIT Campus, Trichy",63,B.E. Civil Engineering (Tamil Medium),107,107,0
8100,"University College of Engineering, BIT Campus, Trichy",65,B.E. Electrical and Electronics Engineering,322,322,0
8100,"University College of Engineering, BIT Campus, Trichy",37,B.Tech. Information Technology,332,332,0
8100,"University College of Engineering, BIT Campus, Trichy",51,B.E. Mechanical Engineering (Tamil Medium),37,37,0
8100,"University College of Engineering, BIT Campus, Trichy",81,B.E Electronics and Communication Engineering,293,293,0
8100,"University College of Engineering, BIT Campus, Trichy",83,B.E Mechanical Engineering,342,342,0
8100,"University College of Engineering, BIT Campus, Trichy",84,B.E Civil Engineering,330,330,0
8100,"University College of Engineering, BIT Campus, Trichy",93,B.E Automobile Engineering,137,137,0
8100,"University College of Engineering, BIT Campus, Trichy",99,B.Tech. Biotechnology,109,109,0
8100,"University College of Engineering, BIT Campus, Trichy",104,B.Tech. Pharmaceutical Technology,135,135,0
