id,branch
132,B.E Safety and Fire Engineering
134,B.Tech. Computer Science and Business System
128,B.E Materials Science And Engineering
143,B.E. Geoinformatics Engineering
129,B.E GEOINFORMATICS
130,B.Tech Rubber And Plastics Technology
137,B.E. Bio Medical Engineering
138,B.Tech. Bio Technology
133,B.Tech Industrial Biotechnology
142,B.Tech. Petroleum Engineering
144,B.Tech. Biotechnology and Biochemical Engineering
145,B.E. Petrochemical Engineering
146,B.E. Medical Electronics
148,B.E. Industrial Engineering and Management
149,B.Tech. Textile Chemistry
150,B.Tech. Handloom and Textile Technology
151,B.Tech. Chemical and Electrochemical Engineering
154,B.Tech. Plastics Technology
155,B.E. Environmental Engineering
126,B.E Printing And Packaging Technology
127,B.E Mining Engineering
