id,college code,college code,college type
557,ENGINEERING,3102,JAGANNATH INSTITUTE OF TECHNOLOGY
559,ENGINEERING,3104,DHANALAKSHMI SRINIVASAN BUSINESS SCHOOL
488,ENGINEERING,1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY 
567,ENGINEERING,3111,LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY
547,ENGINEERING,2128,JAYA COLLEGE OF ENGINEERING AND TECHNOLOGY
565,ENGINEERING,3109,JERUSALEM COLLEGE OF ENGINEERING
500,ENGINEERING,1128,TJS Engineering College
543,ENGINEERING,2124,SREE SASTHA INSTITUTE OF ENGINEERING AND TECHNOLOGY
575,ENGINEERING,3118,MOHAMMED SATHAK A.J.COLLEGE OF ENGINEERING
534,ENGINEERING,2115,Panimalar Institute of Technology 
550,ENGINEERING,2131,PAPNI SCHOOL OF ARCHITECTURE
573,ENGINEERING,3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE
535,ENGINEERING,2116,RAJALAKSHMI ENGINEERING COLLEGE
490,ENGINEERING,1118,Veltech Multitech Dr. Rangarajan Dr. Sakunthala Engineering College
546,ENGINEERING,2127,SRI VENKATESWARA COLLEGE OF ENGINEERING
558,ENGINEERING,3103,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY
595,ENGINEERING,4102,APOLLO PRIYADARSHANAM INSTITUTE OF TECHNOLOGY
974,ENGINEERING,8157,ELIZABETH COLLEGE OF ENGINEERING AND TECHNOLOGY
579,ENGINEERING,3122,SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING
587,ENGINEERING,3130,DA VINCI SCHOOL OF DESIGN AND ARCHITECTURE
589,ENGINEERING,3132,ST. MARY'S SCHOOL OF MANAGEMENT STUDIES
588,ENGINEERING,3131,MISRIMAL NAVAJEE MUNOTH JAIN SCHOOL OF ARCHITECTURE
591,ENGINEERING,3134,NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING AND RESEARCH
592,ENGINEERING,3176,AARUPADAI VEEDU INSTITUTE OF TECHNOLOGY
593,ENGINEERING,3177,HINDUSTAN COLLEGE OF ENGINEERING
590,ENGINEERING,3133,JAWAHAR SCHOOL OF ARCHITECTURE PLANNING AND DESIGN-SALIGRAMAM
602,ENGINEERING,4109,GALAXY INSTITUTE OF MANAGEMENT
604,ENGINEERING,4111,INDIRA GANDHI COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN
605,ENGINEERING,4112,LORD AYYAPPA INSTITUTE OF ENGINEERING AND TECHNOLOGY
539,ENGINEERING,2120,SKR Engineering College 
582,ENGINEERING,3125,T.J. INSTITUTE OF TECHNOLOGY
541,ENGINEERING,2122,Saveetha Engineering college (Autonomous)
580,ENGINEERING,3123,ST.JOSEPH'S COLLEGE OF ENGINEERING
601,ENGINEERING,4108,G.K.M. COLLEGE OF ENGINEERING AND TECHNOLOGY
975,ENGINEERING,8158,NELLIANDAVAR INSTITUTE OF TECHNOLOGY
594,ENGINEERING,4101,ADHI COLLEGE OF ENGINEERING AND TECHNOLOGY
525,ENGINEERING,2106,Jeppiaar Institute of technology
577,ENGINEERING,3120,JEPPIAAR SRR ENGINEERING COLLEGE 
574,ENGINEERING,3117,MOHAMED SATHAK A.J ACADEMY OF ARCHITECTURE
630,ENGINEERING,4204,ADHIPARASAKTHI ENGINEERING COLLEGE
624,ENGINEERING,4176,B.S.ABDUR RAHMAN CRESCENT ENGINEERING COLLEGE
625,ENGINEERING,4177,BHARATH INSTITUTE OF SCIENCE AND TECHNOLOGY
635,ENGINEERING,4209,DR. PAUL'S ENGINEERING COLLEGE
1009,ENGINEERING,9101,C.R. ENGINEERING COLLEGE
632,ENGINEERING,4206,ANNAI TERESA COLLEGE OF ENGINEERING
564,ENGINEERING,3108,Jeppiaar Engineering College 
637,ENGINEERING,4211,IFET COLLEGE OF ENGINEERING
623,ENGINEERING,4130,ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING
548,ENGINEERING,2129,St Joseph college of Engineering 
566,ENGINEERING,3110,KCG College of Technology
608,ENGINEERING,4115,PERI INSTITUTE OF TECHNOLOGY
610,ENGINEERING,4117,PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE
568,ENGINEERING,3112,MARG Institute of Design and Architecture Swarnabhoomi (MIDAS)
611,ENGINEERING,4118,RRASE COLLEGE OF ENGINEERING
633,ENGINEERING,4207,C.K. COLLEGE OF ENGINEERING & TECHNOLOGY
629,ENGINEERING,4203,A.R. ENGINEERING COLLEGE
1010,ENGINEERING,9102,CENTRAL ELECTROCHEMICAL RESEARCH INSTITUTE (CSIR) KARAIKUDI
619,ENGINEERING,4126,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY
1045,ENGINEERING,9201,BHARATH NIKETAN ENGINEERING COLLEGE
642,ENGINEERING,4217,S.R.I COLLEGE OF ENGINEERING AND TECHNOLOGY
644,ENGINEERING,4219,SRI ARAVINDAR ENGINEERING COLLEGE
1043,ENGINEERING,9176,Alagappa Chettiar Government College of Engineering and Technology
669,ENGINEERING,5114,OXFORD COLLEGE OF ENGINEERING
655,ENGINEERING,4276,PERUMAL SAMI RISHI ENGINEERING COLLEGE
665,ENGINEERING,5110,J E I MATHAAJEE COLLEGE OF ENGINEERING
663,ENGINEERING,5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE
640,ENGINEERING,4214,KRS COLLEGE OF ENGINEERING
654,ENGINEERING,4228,VEDHANTHA INSTITUTE OF TECHNOLOGY
662,ENGINEERING,5107,G.G.R. COLLEGE OF ENGINEERING
666,ENGINEERING,5111,ARUNAI COLLEGE OF ENGINEERING
639,ENGINEERING,4213,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY
664,ENGINEERING,5109,Global Institute of Engineering and Technology
583,ENGINEERING,3126,THANGAVELU ENGINEERING COLLEGE 
676,ENGINEERING,5121,RANIPPETTAI ENGINEERING COLLEGE
643,ENGINEERING,4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY
673,ENGINEERING,5118,PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY
653,ENGINEERING,4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY
657,ENGINEERING,5102,ANNAMALAIAR COLLEGE OF ENGINEERING
638,ENGINEERING,4212,KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY
1075,ENGINEERING,9231,CHERAN COLLEGE OF ENGINEERING
617,ENGINEERING,4124,Sri Sai Ram Institute of Technology 
614,ENGINEERING,4121,SRI KRISHNA INSTITUTE OF TECHNOLOGY
694,ENGINEERING,6102,ANNAPOORANA ENGINEERING COLLEGE
692,ENGINEERING,5137,MMES ACADEMY OF ARCHITECTURE
686,ENGINEERING,5131,THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY
705,ENGINEERING,6113,MAHENDRA ENGINEERING COLLEGE
641,ENGINEERING,4216,Mailam engineering college
661,ENGINEERING,5106,C.  Abdul Hakeem college of engineering and technology
702,ENGINEERING,6110,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY
706,ENGINEERING,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN
690,ENGINEERING,5135,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY
683,ENGINEERING,5128,SRI NANDHANAM COLLEGE OF ENGINEERING AND TECHNOLOGY
684,ENGINEERING,5129,SRI RENUGAMBAL COLLEGE OF ARCHITECTURE
647,ENGINEERING,4222,Surya Group of Institutions 
685,ENGINEERING,5130,ST.JOHN'S COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN
699,ENGINEERING,6107,GOVERNMENT COLLEGE OF ENGINEERING - BARGUR
691,ENGINEERING,5136,SHRI SITHESWARAR ENGINEERING COLLEGE
693,ENGINEERING,6101,ALPHA INSTITUTE OF MANAGEMENT
701,ENGINEERING,6109,JAYALAKSHMI INSTITUTE OF TECHNOLOGY
695,ENGINEERING,6103,ARCHANA INSTITUTE OF TECHNOLOGY
696,ENGINEERING,6104,COLLEGE OF BUSINESS MANAGEMENT
687,ENGINEERING,5132,THIRUMALAI ENGINEERING COLLEGE
698,ENGINEERING,6106,DR.NAGARATHINAM'S COLLEGE OF ENGINEERING
703,ENGINEERING,6111,KNOWLEDGE BUSINESS SCHOOL
708,ENGINEERING,6116,MAHENDRA INSTITUTE OF TECHNOLOGY
618,ENGINEERING,4125,Sri Sairam Engineering College
739,ENGINEERING,6207,GNANAMANI COLLEGE OF ENGINEERING
719,ENGINEERING,6127,THE KAVERY ENGINEERING COLLEGE
704,ENGINEERING,6112,KNOWLEDGE INSTITUTE OF TECHNOLOGY
723,ENGINEERING,6131,VIVEKANANDHA INSTITUTE OF ENGINEERING & TECHNOLOGY FOR WOMEN
1042,ENGINEERING,9134,DHAYA COLLEGE OF ENGINEERING
730,ENGINEERING,6177,GOVERNMENT COLLEGE OF ENGINEERING - SALEM
674,ENGINEERING,5119,Priyadarshi Engineering college 
688,ENGINEERING,5133,University College of Engineering ARNI
715,ENGINEERING,6123,SENGUNTHAR ENGINEERING COLLEGE
737,ENGINEERING,6205,CMS COLLEGE OF ENGINEERING 
718,ENGINEERING,6126,THE KAVERY COLLEGE OF ENGINEERING
740,ENGINEERING,6208,GNANAMANI COLLEGE OF TECHNOLOGY
646,ENGINEERING,4221,St. Anne's College of Engineering and Technology
710,ENGINEERING,6118,P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY
738,ENGINEERING,6206,Ganesh College of Engineering
711,ENGINEERING,6119,RKKR SCHOOL OF MANAGEMENT STUDIES
717,ENGINEERING,6125,SRI VENKATESWARA INSTITUTE OF ENGINEERING
709,ENGINEERING,6117,NARASU'S SARATHY INSTITUTE OF TECHNOLOGY
724,ENGINEERING,6132,VIVEKANANDHA BUSINESS SCHOOL FOR WOMEN
725,ENGINEERING,6133,VIVEKANANDHA INSTITUTE OF INFORMATION AND MANAGEMENT STUDIES
726,ENGINEERING,6134,HOSUR INSTITUTE OF TECHNOLOGY AND SCIENCE
728,ENGINEERING,6136,SPECTRUM COLLEGE OF TECHNOLOGY
732,ENGINEERING,6179,VINAYAKA MISSIONS KIRUPANANDA VARIYAR ENGINEERING COLLEGE
736,ENGINEERING,6204,BRAHMA SCHOOL OF BUSINESS
741,ENGINEERING,6209,GNANAMANI INSTITUTE OF MANAGEMENT STUDIES
742,ENGINEERING,6210,GREENTECH COLLEGE OF ENGINEERING FOR WOMEN
744,ENGINEERING,6212,KING COLLEGE OF TECHNOLOGY
1109,ENGINEERING,9526,S.VEERASAMY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY
716,ENGINEERING,6124,Shree Sathyam College of Engineering and Technology 
721,ENGINEERING,6129,Vivekanandha College of Engineering for Women
777,ENGINEERING,7109,INDUS COLLEGE OF ENGINEERING
774,ENGINEERING,7106,CSI COLLEGE OF ENGINEERING
757,ENGINEERING,6225,SELVAM COLLEGE OF TECHNOLOGY
751,ENGINEERING,6219,PAAVAAI GROUP OF INSTITUTIONS
743,ENGINEERING,6211,Idhaya Engineering College for Women
771,ENGINEERING,7103,ANGEL COLLEGE OF ENGINEERING AND TECHNOLOGY
768,ENGINEERING,6236,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY
756,ENGINEERING,6224,SALEM COLLEGE OF ENGINEERING AND TECHNOLOGY
752,ENGINEERING,6220,PAAVAI COLLEGE OF ENGINEERING
763,ENGINEERING,6231,VSA GROUP OF INSTITUTIONS
1143,ENGINEERING,9620,SATYAM COLLEGE OF ENGINEERING AND TECHNOLOGY
735,ENGINEERING,6203,Bharathiyar Institute of engineering for women
773,ENGINEERING,7105,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY
758,ENGINEERING,6226,SHREENIVASA ENGINEERING COLLEGE
754,ENGINEERING,6222,PAVAI COLLEGE OF TECHNOLOGY
731,ENGINEERING,6178,SONA COLLEGE OF TECHNOLOGY
727,ENGINEERING,6135,Government College of Engineering- Dharmapuri
776,ENGINEERING,7108,DR.NALLINI INSTITUTE OF ENGINEERING AND TECHNOLOGY
766,ENGINEERING,6234,SKANDHA SCHOOL OF ARCHITECTURE
764,ENGINEERING,6232,VASAVI VIDYA TRUST GROUP OF INSTITUTIONS""
707,ENGINEERING,6115,Mahindra Institute of Engineering & Technology
755,ENGINEERING,6223,S R S COLLEGE OF ENGINEERING AND TECHNOLOGY
760,ENGINEERING,6228,SRI GANESH SCHOOL OF BUSINESS MANAGEMENT
1141,ENGINEERING,9618,PONJESLY COLLEGE OF ENGINEERING
789,ENGINEERING,7121,MCGAN'S OOTY SCHOOL OF ARCHITECTURE
762,ENGINEERING,6230,Tagore Institute of Engineering and Technology 
799,ENGINEERING,7131,SRI SAI RANGANATHAN ENGINEERING COLLEGE
804,ENGINEERING,7136,SREE SAKTHI ENGINEERING COLLEGE
780,ENGINEERING,7112,JAI SHRIRAM ENGINEERING COLLEGE
775,ENGINEERING,7107,Dr.N.G.P Institute of Technology-  Coimbatore 
749,ENGINEERING,6217,Muthayammal College of Engineering
745,ENGINEERING,6213,Kongunadu College of Engineering and Technology 
759,ENGINEERING,6227,SRG ENGINEERING COLLEGE 
767,ENGINEERING,6235,AVS COLLEGE OF TECHNOLOGY
973,ENGINEERING,8156,ARIYALUR ENGINEERING COLLEGE 
785,ENGINEERING,7117,KGISL INSTITUTE OF TECHNOLOGY
781,ENGINEERING,7113,K P R INSTITUTE OF ENGINEERING AND TECHNOLOGY
782,ENGINEERING,7114,K.P.R.SCHOOL OF BUSINESS
797,ENGINEERING,7129,RVS TECHNICAL CAMPUS-COIMBATORE
796,ENGINEERING,7128,R V S COLLEGE OF ENGINEERING AND TECHNOLOGY
