id,college code,college code,college type
1498,532,SRI KRISHNA POLYTECHNIC COLLEGE,POLYTECHNIC
1492,522,MURUGESAN INSTITUTE OF TECHNOLOGY,POLYTECHNIC
1493,523,SRI RAGAVENDRA POLYTECHNIC COLLEGE,POLYTECHNIC
1494,525,K S R POLYTECHNIC COLLEGE,POLYTECHNIC
1506,542,LAKSHMI NARAYANA POLYTECHNIC COLLEGE,POLYTECHNIC
1500,534,PADALESWARAR POLYTECHNIC COLLEGE,POLYTECHNIC
599,4106,Dhaanish Ahmed College of Engineering ,ENGINEERING
1503,539,ANNDAVAR POLYTECHNIC COLLEGE,POLYTECHNIC
1509,546,THE KAVERY POLYTECHNIC COLLEGE,POLYTECHNIC
1504,540,LITTLE FLOWER POLYTECHNIC COLLEGE,POLYTECHNIC
1490,520,SRI MUTHALAMMAN POLYTECHNIC COLLEGE,POLYTECHNIC
1499,533,PAAVAI POLYTECHNIC COLLEGE,POLYTECHNIC
1508,545,VIVEKANANDA POLYTECHNIC COLLEGE,POLYTECHNIC
519,1201,Jaya School of Architecture ,ENGINEERING
1505,541,SRI DURGADEVI POLYTECHNIC COLLEGE,POLYTECHNIC
1535,573,CHANDY POLYTECHNIC COLLEGE,POLYTECHNIC
1514,551,DHANALAKSHMI SRINIVASAN POLYTECHNIC COLLEGE,POLYTECHNIC
668,5113,KINGSTON ENGINEERING COLLEGE,ENGINEERING
1135,9612,Loyola Institute of Technology and Science ,ENGINEERING
1534,572,APOLLO POLYTECHNIC COLLEGE,POLYTECHNIC
1512,549,P G P POLYTECHNIC COLLEGE,POLYTECHNIC
1520,558,D P C POLYTECHNIC COLLEGE,POLYTECHNIC
1515,552,BHARATH POLYTECHNIC COLLEGE,POLYTECHNIC
1537,576,P A POLYTECHNIC COLLEGE,POLYTECHNIC
1516,553,SRI VENKATACHALAPATHY POLYTECHNIC COLLEGE,POLYTECHNIC
1529,567,JAYA POLYTECHNIC COLLEGE,POLYTECHNIC
1525,563,JOHN BOSCO POLYTECHNIC COLLEGE,POLYTECHNIC
1518,555,MURUGA POLYTECHNIC COLLEGE,POLYTECHNIC
1531,569,J J POLYTECHNIC COLLEGE,POLYTECHNIC
1532,570,PONNAIYAH RAMAJAYAM POLYTECHNIC COLLEGE,POLYTECHNIC
1530,568,UDAYA POLYTECHNIC COLLEGE,POLYTECHNIC
1526,564,SRI ADHISANKARAR POLYTECHNIC COLLEGE,POLYTECHNIC
1527,565,LALGUDI CO-OPERATIVE POLYTECHNIC COLLEGE,POLYTECHNIC
1528,566,PASTOR LENSSEN POLYTECHNIC COLLEGE,POLYTECHNIC
1511,548,ARIES POLYTECHNIC COLLEGE,POLYTECHNIC
1519,556,THIRUTHANI POLYTECHNIC COLLEGE,POLYTECHNIC
1521,559,P V POLYTECHNIC COLLEGE,POLYTECHNIC
492,1120,JAYA SAKTHI ENGINEERING COLLEGE,ENGINEERING
1517,554,CHEYYAR POLYTECHNIC COLLEGE,POLYTECHNIC
1536,574,MAHENDRA POLYTECHNIC COLLEGE,POLYTECHNIC
1533,571,VANDAYAR POLYTECHNIC COLLEGE,POLYTECHNIC
1547,587,A R J POLYTECHNIC COLLEGE,POLYTECHNIC
1546,586,PONNAIYAH RAMAJAYAM POLYTECHNIC COLLEGE,POLYTECHNIC
1540,579,SURYA POLYTECHNIC COLLEGE,POLYTECHNIC
1564,705,KONGUNADU POLYTECHNIC COLLEGE,POLYTECHNIC
1560,701,VETRI VINAYAHA POLYTECHNIC COLLEGE,POLYTECHNIC
1543,582,MOTHER TERASA POLYTECHNIC COLLEGE,POLYTECHNIC
1544,583,SAKTHI INSTITUTE OF FASHION TECHNOLOGY,POLYTECHNIC
1554,594,P S R POLYTECHNIC COLLEGE,POLYTECHNIC
1559,618,BHARATH INST OF CATRNG TECNLGY & HOTEL MNGT,POLYTECHNIC
1545,584,SUDHARSAN POLYTECHNIC COLLEGE,POLYTECHNIC
1550,590,THE KONGU POLYTECHNIC COLLEGE,POLYTECHNIC
1538,577,R V S POLYTECHNIC COLLEGE,POLYTECHNIC
1557,598,THE KAAVERY INSTITUTE OF TECHNOLOGY,POLYTECHNIC
1551,591,KONGHU VELALAR POLYTECHINIC COLLEGE,POLYTECHNIC
1552,592,M A M POLYTECHNIC COLLEGE,POLYTECHNIC
1541,580,F X POLYTECHNIC COLLEGE,POLYTECHNIC
1549,589,CHENDHURAN POLYTECHNIC COLLEGE,POLYTECHNIC
1553,593,NAGA SIVA POLYTECHNIC COLLEGE,POLYTECHNIC
1558,599,MAHARANI POLYTECHNIC COLLEGE,POLYTECHNIC
1556,597,SRINIVASAN POLYTECHNIC COLLEGE,POLYTECHNIC
1548,588,ARULMURUGAN POLYTECHNIC COLLEGE,POLYTECHNIC
1561,702,AAROORAN POLYTECHNIC COLLEGE,POLYTECHNIC
1562,703,ELUMALAIYAN POLYTECHNIC COLLEGE,POLYTECHNIC
1565,706,MASS POLYTECHNIC COLLEGE,POLYTECHNIC
1563,704,MAISURII  POLYTECHNIC COLLEGE,POLYTECHNIC
1567,710,PAVENDAR BHARATHIDASAN POLYTECHNIC COLLEGE,POLYTECHNIC
1581,724,MUSIRI INSTITUTE OF TECHNOLOGY,POLYTECHNIC
1586,729,KARTHIKEYA POLYTECHNIC COLLEGE,POLYTECHNIC
1569,712,SRI BHARATHI VELU POLYTECHNIC COLLEGE,POLYTECHNIC
1282,2719,Sri Ramakrishna Engineering College,
1579,722,UDHAYAM POLYTECHNIC COLLEGE,POLYTECHNIC
1572,715,SRI RENGA POLYTECHNIC COLLEGE,POLYTECHNIC
1573,716,N P R POLYTECHNIC COLLEGE.,POLYTECHNIC
1574,717,SRI VENKATESHWARAA POLYTECHNIC COLLEGE,POLYTECHNIC
1575,718,THE SURABI COLLEGE OF POLYTECHNIC,POLYTECHNIC
1576,719,NATIONAL INSTITUTE OF POLYTECHNIC,POLYTECHNIC
1577,720,P S N POLYTECHNIC COLLEGE,POLYTECHNIC
1590,734,KOTTAI MARIAMMAN POLYTECHNIC COLLEGE,POLYTECHNIC
1585,728,BHAVANI POLYTECHNIC COLLEGE,POLYTECHNIC
1578,721,ROYAL POLYTECHNIC COLLEGE,POLYTECHNIC
1583,726,P S N INSTITUTE OF TECHNOLOGY,POLYTECHNIC
1584,727,SRI RAJIV GANDHI POLYTECHNIC COLLEGE,POLYTECHNIC
1592,736,SHREE  MARUTHI POLYTECHNIC COLLEGE,POLYTECHNIC
1570,713,SUDHARSHANA POLYTECHNIC COLLEGE,POLYTECHNIC
1587,730,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,POLYTECHNIC
1588,732,GANDHI POLYTECHNIC COLLEGE,POLYTECHNIC
1595,739,VOICE OF GOD POLYECHNIC COLLEGE,POLYTECHNIC
1580,723,CAPE POLYTECHNIC COLLEGE,POLYTECHNIC
1589,733,SALEM KONGU POLYTECHNIC COLLEGE,POLYTECHNIC
1593,737,PAAVENDHAR POLYTECHNIC COLLEGE,POLYTECHNIC
1596,740,SRI BALAKRISHNA POLYTECHNIC COLLEGE,POLYTECHNIC
1599,743,GUDIYATTAM POLYTECHNIC COLLEGE,POLYTECHNIC
1601,745,RAJALAKSHMI POLYTECHNIC COLLEGE,POLYTECHNIC
1619,765,SIR ISSAC NEWTON POLYTECHNIC COLLEGE,POLYTECHNIC
1600,744,SRI RAMACHANDRA POLYTECHNIC COLLEGE,POLYTECHNIC
1611,757,IMAYAM POLYTECHNIC COLLEGE,POLYTECHNIC
1610,756,JAYARAM POLYTECHNIC COLLEGE,POLYTECHNIC
1605,750,AYYAPPA POLYTECHNIC COLLEGE,POLYTECHNIC
1606,752,SASTHA POLYTECHNIC COLLEGE,POLYTECHNIC
1607,753,MAHATH AMMA POLYTECHNIC COLLEGE,POLYTECHNIC
1620,766,HAJI SHEIK ISMAIL POLYTECHNIC COLLEGE,POLYTECHNIC
1609,755,SRI BHARATHI POLYTECHNIC COLLEGE FOR WOMEN,POLYTECHNIC
1616,762,N V POLYTECHNIC COLLEGE,POLYTECHNIC
1612,758,ANNAI COLLEGE OF POLYTECHNIC COLLEGE,POLYTECHNIC
1614,760,SRI BALAMURUGAN POLYTECHNIC COLLEGE,POLYTECHNIC
1615,761,JAYAM POLYTECHNIC COLLEGE,POLYTECHNIC
1608,754,ST. JOSEPH POLYTECHNIC COLLEGE,POLYTECHNIC
1626,775,UNION CHRISTIAN POLYTECHNIC COLLEGE,POLYTECHNIC
1618,764,SRI RANGANATHAR INSTITUTE OF POLYTECHNIC COLLEGE,POLYTECHNIC
