9520,P.S.R.R COLLEGE OF ENGINEERING,146
9516,MAHAKAVI BHARATHIYAR COLLEGE OF ENGINEERING AND TECHNOLOGY,195
9609,Jayamatha Engineering College,45
9527,Sardar Raja College of Engineering,223
9505,Dr.Sivanthi Aditanar College of Engineering, Tiruchendur,595
9617,NARAYANAGURU COLLEGE OF ENGINEERING,166
9613,M.E.T. ENGINEERING COLLEGE,299
3128,Agni College of Technology,867
6218,PGP COLLEGE OF ENGINEERING AND TECHNOLOGY ,377
5105,Bharathidasan Engineering College ,390
9629,Vins Christian College of engineering,192
9533,Unnamalai Institute of Technology,210
3105,Dhanalakshmi Srinivasan College of Engineering and Technology,1023
9619,Rajas Institute of technology ,203
2105,Dmi college of Engineering,1049
5134,University College of Engineering kanchipuram ,893
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,978
2117,Rajalakshmi Institute of Technology ,1189
9133,Vaigai College of Engineering,706
9627,Universal College of Engineering and Technology Vallioor ,689
total count,189
