7325,SHREE VENKATESHWARA HI-TECH ENGINEERING COLLEGE,1130
7331,VIDYAA VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,432
7316,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,895
8106,DR.NAVALAR NEDUNCHEZHIYAN COLLEGE OF ENGINEERING,138
7312,JKK MUNIRAJAH COLLEGE OF TECHNOLOGY ,317
9103,CHENDHURAN COLLEGE OF ENGINEERING AND TECHNOLOGY,174
8203,A.V.C COLLEGE OF ENGINEERING,1053
8218,SMR EAST COAST COLLEGE OF ENGINEERING AND TECHNOLOGY,31
9110,LATHA MATHAVAN ENGINEERING COLLEGE,519
9124,SHANMUGANATHAN ENGINEERING COLLEGE,561
8211,Kings College of Engineering ,960
9127,ST.MICHAEL COLLEGE OF ENGINEERING & TECHNOLOGY,274
8222,University College of Engineering Thirukkuvalai,351
9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,543
8216,Sembodai Rukmani varatharajan engineering college,82
9208,N P R COLLEGE OF ENGINEERING AND TECHNOLOGY,803
9115,MOHAMED SATHAK ENGINEERING COLLEGE,767
9123,SACS M.A.V.M.M ENGINEERING COLLEGE,766
9107,K.L.N.COLLEGE OF INFORMATION TECHNOLOGY,139
9210,Nadar Saraswathi College of Engineering and Technology,700
9126,Sri Bharathi Engineering College for Women,225
9233,GOVERNMENT COLLEGE OF ENGINEERING,1142
9602,ARUNACHALA COLLEGE OF ENGINEERING FOR WOMEN,1163
9607,IMMANUEL ARASAR J J COLLEGE OF ENGINEERING,34
9531,THAMIRABHARANI ENGINEERING COLLEGE,836
9604,C.S.I. INSTITUTE OF TECHNOLOGY,348
9512,J P COLLEGE OF ENGINEERING,1027
9522,PSN COLLEGE OF ENGINEERING AND TECHNOLOGY,0
9518,NELLAI COLLEGE OF ENGINEERING,349
9520,P.S.R.R COLLEGE OF ENGINEERING,149
9516,MAHAKAVI BHARATHIYAR COLLEGE OF ENGINEERING AND TECHNOLOGY,195
9609,Jayamatha Engineering College,51
9527,Sardar Raja College of Engineering,257
9505,Dr.Sivanthi Aditanar College of Engineering, Tiruchendur,607
9617,NARAYANAGURU COLLEGE OF ENGINEERING,185
9613,M.E.T. ENGINEERING COLLEGE,365
3128,Agni College of Technology,885
9523,PSN ENGINEERING COLLEGE,535
6218,PGP COLLEGE OF ENGINEERING AND TECHNOLOGY ,451
5105,Bharathidasan Engineering College ,418
9629,Vins Christian College of engineering,192
9533,Unnamalai Institute of Technology,227
3105,Dhanalakshmi Srinivasan College of Engineering and Technology,1064
9619,Rajas Institute of technology ,212
2105,Dmi college of Engineering,1049
5134,University College of Engineering kanchipuram ,939
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,1056
2117,Rajalakshmi Institute of Technology ,1191
9133,Vaigai College of Engineering,724
9627,Universal College of Engineering and Technology Vallioor ,863
total count,189
