College Code,College Name ,Taluk,District,Pincode,College Address
9627,UNIVERSAL COLLEGE OF ENGINEERING AND TECHNOLOGY,,TIRUNELVELI,627117,"Post Box No.1, Anbagam Campus, Radhapuram Road, Vallioor"
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",,KANYAKUMARI,629004,"GPT Nagercoil Campus, Konam, Nagercoil"
9629,VINS CHRISTIAN COLLEGE OF ENGINEERING,,KANYAKUMARI,629807,"Vins Nagar, Chunkankadai, Villukuri, Nagercoil"
9630,VINS CHRISTIAN WOMEN'S COLLEGE OF ENGINEERING,,KANYAKUMARI,629807,"Vins Nagar, Chunkankadai, Villukuri, Nagercoil"
9631,ARUL COLLEGE OF TECHNOLOGY,,TIRUNELVELI,627111,
9632,PET ENGINEERING COLLEGE,,TIRUNELVELI,627117,"Thiruchendur Road, Vallioor"
9633,ROHINI COLLEGE OF ENGINEERING & TECHNOLOGY,,KANYAKUMARI,629401,"Aniugramam to Kanyakumari Main Road, Paalkulam Variyoor post"
9634,SIGMA COLLEGE OF ARCHITECTURE,,KANYAKUMARI,629168,"MoododuAnucode post, (Near Marthandam)"
9635,STELLA MARY'S COLLEGE OF ENGINEERING,,KANYAKUMARI,629202,AruthenganvilaiAzhikal Post 
9636,LOURDES MOUNT COLLEGE OF ENGINEERING AND TECHNOLOGY,,KANYAKUMARI,629195,"Marthandam-Karungal Road, Chundavilai, Mullanganavilai Nattalam PO"
9637,NARAYANAGURU SIDDHARTHA COLLEGE OF ENGINEERING,,KANYAKUMARI,629194,"Athencode, Methukummal PanchayatKulappuram Village Near Padanthalumoodu"
9638,GOOD SHEPHERD COLLEGE OF ENGINEERING & TECHNOLOGY,,KANYAKUMARI,629101,MaruthamparaiKaliyal Village and Post Nagercoil
9676,NOORUL ISLAM COLLEGE OF ENGINEERING,,KANYAKUMARI,629180,"P.B.No.1, KumaracoilThuckalay Post "
