id,branch,student count,verified student count,unverified student count
7029,ME-Industrial Safety Engineering,40,40,0
7030,M.E.- Engineering Design,16,16,0
7031,MCA,118,118,0
7032,MBA - Master of Business Administration,504,504,0
7034,B.Tech - Pharmaceutical Technology,102,3,99
7038,Computer Science and Engineering(IOT & CS including BCT),0,0,0
7039,Mechanical &Mechatronics,0,0,0
7040,Computer Science and Engineering (IOT & CS including BCT),0,0,0
7043,B.E - Aerospace Engineering,0,0,0
7045,Computer Science and Engineering (CyberSecurity),0,0,0
7046,Electronics and Telecommunications Engineering,111,0,111
7047,BE INSTRUMENTATION AND CONTROL ENGINEERING,8,8,0
7048,BE METALLURGICAL ENGINEERING,0,0,0
7049,BE PRODUCTION ENGINEERING,0,0,0
7051,TEXTILE TECHNOLOGY,0,0,0
7053,BE (SW) PRODUCTION ENGINEERING,0,0,0
7054,BSc APPLIED SCIENCE,62,0,62
7061,Computer and Communication Engineering,0,0,0
7064,INFORMATION SCIENCE AND ENGINEERING,0,0,0
7072,INFORMATION SYSTEMS,177,177,0
7073,SOFTWARE SYSTEMS,165,165,0
7076,BTECH/BT,0,0,0
7077,BE/BME,4,4,0
8001,BTECH/AIDS,71,71,0
8003,B.E. - Computer Science and Engineering,2,2,0
8004,B.Tech. - Information Technology,125,125,0
8005,B.E. - Electronics and CommunicationEngineering,0,0,0
7022,power system engineering,2,2,0
7033,Agriculture Engineering,0,0,0
7035,B.Tech. Food Technology,16,16,0
7036,Computer Science and Technology,0,0,0
7037,Computer Science and Design,0,0,0
7041,Mechanical &Mechatronics,0,0,0
7042,Agriculture Engineering,0,0,0
7044,B.E - Aerospace Engineering,0,0,0
7050,Fashion Technology,11,11,0
7052,TEXTILE TECHNOLOGY,0,0,0
7055,Computer Science and Design,0,0,0
7056,Agriculture Engineering,0,0,0
7057,B.Tech. Artificial Intelligence & Machine Learning,0,0,0
7058,B.Tech. Food Technology,0,0,0
7059,B.Tech. Artificial Intelligence & Machine Learning,0,0,0
7060,B.Tech. Food Technology,0,0,0
7062,B.Tech. Computer Science and Business Systems,41,41,0
7063,B.Tech. Computer Science and Business Systems,3,3,0
