college_id,college_code,college_name
1429,353,S A RAJA'S POLYTECHNIC COLLEGE
1449,375,MODERATOR GNANADASAN POLYTECHNIC COLLEGE
1426,350,SRI SOWDAMBIKA POLYTECHNIC COLLEGE
1450,377,N A MANJAMMAL POLYTECHNIC COLLEGE
852,7221,SVS School of Architecture
1458,385,SRI BALAJI POLYTECHNIC COLLEGE
867,7236,"Pollachi institute of engineering and technology, pollachi"
1453,380,I R T POLYTECHNIC COLLEGE
882,7302,Al ameen Engineering College (Autonomous)
897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE
894,7314,J.K.K.MUNIRAJAH SCHOOL OF ARCHITECTURE
889,7309,EXCEL ENGINEERING COLLEGE
1048,9204,Kamaraj College of Engineering and Technology 
886,7306,EXCEL COLLEGE OF ARCHITECTURE AND PLANNING
900,7320,MAHARAJA PRITHVI ENGINEERING COLLEGE
899,7319,MAHARAJA ENGINEERING COLLEGE FOR WOMEN
898,7318,MAHARAJA ENGINEERING COLLEGE
1460,387,SRI KRISHNA POLYTECHNIC COLLEGE
1461,388,RANIPET INSTITUTE OF TECHNOLOGY
1466,409,HIET POLYTECHNIC COLLEGE
890,7310,GEM BUSINESS ACADEMY
1465,408,SIGA POLYTECHNIC COLLEGE
1464,405,INSTITUTE OF CERAMIC TECHNOLOGY
1467,410,S M P A INSTITUTE OF PRINTING TECHNOLOGY
1457,384,VIGNESH POLYTECHNIC COLLEGE
1459,386,DR M G R POLYTECHNIC COLLEGE
888,7308,EXCEL COLLEGE OF TECHNOLOGY
927,8109,Holy Angels School of Business
843,7211,"STUDY WORLD COLLEGE OF ENGINEERING, COIMBATORE"
1473,501,JAYARAJ ANNAPACKIAM C S I POLYTECHNIC COLLEGE
1481,510,RUDHRAVENI MUTHUSAMY POLYTECHNIC COLLEGE
1468,413,INSTITUTE OF TOOL ENGINEERING
1480,509,ER. PERUMAL MANIMEKALAI POLYTECHNIC COLLEGE
1482,511,SRI RAMAKRISHNA POLYTECHNIC COLLEGE
734,6202,Annai mathammal sheela Engineering college 
596,4103,ARM COLLEGE OF ENGINEERING AND TECHNOLOGY
509,1137,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY 
656,5101,Adhiparasakthi College of Engineering
1484,513,LATHA MATHAVAN POLYTECHNIC COLLEGE
821,7153,Asian College of Engineering and Technology 
1478,507,PRIYADARSHINI POLYTECHNIC COLLEGE
522,2103,Arignar Anna institute of science and technology 
